cell line	RNAseq Accession	ChIPseq Accession
A549	wgEncodeEH000143,wgEncodeEH000143,wgEncodeEH000184,wgEncodeEH000184,wgEncodeEH000313,wgEncodeEH000314,wgEncodeEH001237,wgEncodeEH001246,wgEncodeEH001247,wgEncodeEH001248,wgEncodeEH001740,wgEncodeEH001740,wgEncodeEH002461,wgEncodeEH002462,wgEncodeEH002597,wgEncodeEH002598,wgEncodeEH002599,wgEncodeEH002600,wgEncodeEH002601,wgEncodeEH002617,wgEncodeEH002624,wgEncodeEH002625	wgEncodeEH003119,wgEncodeEH003120
AG04450	wgEncodeEH000144,wgEncodeEH000144,wgEncodeEH000179,wgEncodeEH000179,wgEncodeEH001081	wgEncodeEH003036
BJ	wgEncodeEH000145,wgEncodeEH000145,wgEncodeEH000185,wgEncodeEH000185,wgEncodeEH001079	wgEncodeEH000424
GM12878	wgEncodeEH000122,wgEncodeEH000122,wgEncodeEH000122,wgEncodeEH000122,wgEncodeEH000125,wgEncodeEH000125,wgEncodeEH000125,wgEncodeEH000125,wgEncodeEH000137,wgEncodeEH000137,wgEncodeEH000137,wgEncodeEH000137,wgEncodeEH000141,wgEncodeEH000146,wgEncodeEH000146,wgEncodeEH000147,wgEncodeEH000147,wgEncodeEH000148,wgEncodeEH000148,wgEncodeEH000170,wgEncodeEH000170,wgEncodeEH000186,wgEncodeEH000186,wgEncodeEH000187,wgEncodeEH000187,wgEncodeEH000203,wgEncodeEH000204,wgEncodeEH000212,wgEncodeEH000269,wgEncodeEH002889,wgEncodeEH002942,wgEncodeEH003034	wgEncodeEH000031,wgEncodeEH000031,wgEncodeEH000428
H1-hESC	wgEncodeEH000128,wgEncodeEH000128,wgEncodeEH000128,wgEncodeEH000128,wgEncodeEH000132,wgEncodeEH000132,wgEncodeEH000132,wgEncodeEH000132,wgEncodeEH000138,wgEncodeEH000138,wgEncodeEH000138,wgEncodeEH000138,wgEncodeEH000149,wgEncodeEH000149,wgEncodeEH000150,wgEncodeEH000150,wgEncodeEH000151,wgEncodeEH000151,wgEncodeEH000152,wgEncodeEH000152,wgEncodeEH000198,wgEncodeEH000198,wgEncodeEH000199,wgEncodeEH000199,wgEncodeEH000270,wgEncodeEH001082,wgEncodeEH001083,wgEncodeEH001083,wgEncodeEH001084,wgEncodeEH001084	wgEncodeEH000074
HMEC	wgEncodeEH000153,wgEncodeEH000153,wgEncodeEH000176,wgEncodeEH000176	wgEncodeEH000077,wgEncodeEH000408
HSMM	wgEncodeEH000154,wgEncodeEH000154,wgEncodeEH000177,wgEncodeEH000177,wgEncodeEH001420,wgEncodeEH001420,wgEncodeEH001420,wgEncodeEH001420	wgEncodeEH000112
HUVEC	wgEncodeEH000129,wgEncodeEH000129,wgEncodeEH000129,wgEncodeEH000129,wgEncodeEH000133,wgEncodeEH000133,wgEncodeEH000133,wgEncodeEH000133,wgEncodeEH000155,wgEncodeEH000155,wgEncodeEH000156,wgEncodeEH000156,wgEncodeEH000157,wgEncodeEH000157,wgEncodeEH000188,wgEncodeEH000188,wgEncodeEH000189,wgEncodeEH000189,wgEncodeEH000200,wgEncodeEH000200,wgEncodeEH001080	wgEncodeEH000038,wgEncodeEH000411
HeLa-S3	wgEncodeEH000130,wgEncodeEH000130,wgEncodeEH000130,wgEncodeEH000130,wgEncodeEH000134,wgEncodeEH000134,wgEncodeEH000134,wgEncodeEH000134,wgEncodeEH000171,wgEncodeEH000171,wgEncodeEH000172,wgEncodeEH000172,wgEncodeEH000173,wgEncodeEH000173,wgEncodeEH000190,wgEncodeEH000190,wgEncodeEH000191,wgEncodeEH000191,wgEncodeEH000201,wgEncodeEH000201,wgEncodeEH001087,wgEncodeEH001088,wgEncodeEH001089	wgEncodeEH000442,wgEncodeEH001037
HepG2	wgEncodeEH000127,wgEncodeEH000127,wgEncodeEH000127,wgEncodeEH000127,wgEncodeEH000135,wgEncodeEH000135,wgEncodeEH000135,wgEncodeEH000135,wgEncodeEH000158,wgEncodeEH000158,wgEncodeEH000159,wgEncodeEH000159,wgEncodeEH000160,wgEncodeEH000160,wgEncodeEH000161,wgEncodeEH000161,wgEncodeEH000192,wgEncodeEH000192,wgEncodeEH000202,wgEncodeEH000202,wgEncodeEH001741,wgEncodeEH001742,wgEncodeEH001743	wgEncodeEH000433,wgEncodeEH001023
K562	wgEncodeEH000124,wgEncodeEH000124,wgEncodeEH000124,wgEncodeEH000124,wgEncodeEH000126,wgEncodeEH000126,wgEncodeEH000126,wgEncodeEH000126,wgEncodeEH000140,wgEncodeEH000140,wgEncodeEH000142,wgEncodeEH000162,wgEncodeEH000162,wgEncodeEH000163,wgEncodeEH000163,wgEncodeEH000174,wgEncodeEH000174,wgEncodeEH000180,wgEncodeEH000180,wgEncodeEH000181,wgEncodeEH000181,wgEncodeEH000182,wgEncodeEH000182,wgEncodeEH000193,wgEncodeEH000193,wgEncodeEH000194,wgEncodeEH000194,wgEncodeEH000205,wgEncodeEH000206,wgEncodeEH000207,wgEncodeEH000208,wgEncodeEH000209,wgEncodeEH000210,wgEncodeEH000213,wgEncodeEH000271,wgEncodeEH000524,wgEncodeEH000525,wgEncodeEH000526,wgEncodeEH000527	wgEncodeEH000044,wgEncodeEH000434
