Data_Type,Cell_Type,Experimental_Factors,Treatment,Lab,PI,Assembly,Status,GEO_Accession,DCC_Accession,Date_Unrestricted
5C,BJ,Region=UW-5C-Gene-Regions,none,UW,Stamatoyannopoulos,hg19,released,GSM970285,wgEncodeEH002097,12/8/2011
5C,Caco-2,Region=UW-5C-Myc-Region,none,UW,Stamatoyannopoulos,hg19,released,GSM970291,wgEncodeEH002098,12/8/2011
5C,GM06990,Region=UW-5C-Gene-Regions,none,UW,Stamatoyannopoulos,hg19,released,GSM970290,wgEncodeEH002099,12/8/2011
5C,GM12878,Region=UW-5C-Myc-Region,none,UW,Stamatoyannopoulos,hg19,released,GSM970289,wgEncodeEH002100,12/8/2011
5C,GM12878,Version=V2,none,UMass-Dekker,Dekker,hg19,released,GSM970499,wgEncodeEH001665,10/25/2011
5C,GM12878,none,none,UMass-Dekker,Dekker,hg19,released,,wgEncodeEH001665,10/25/2011
5C,H1-hESC,Version=V2,none,UMass-Dekker,Dekker,hg19,released,GSM970498,wgEncodeEH001666,10/25/2011
5C,H1-hESC,none,none,UMass-Dekker,Dekker,hg19,released,GSM970498,wgEncodeEH001666,10/25/2011
5C,HeLa-S3,Version=V2,none,UMass-Dekker,Dekker,hg19,released,GSM970497,wgEncodeEH001667,10/25/2011
5C,HeLa-S3,none,none,UMass-Dekker,Dekker,hg19,released,GSM970497,wgEncodeEH001667,10/25/2011
5C,HepG2,Region=UW-5C-Gene-Regions,none,UW,Stamatoyannopoulos,hg19,released,GSM970288,wgEncodeEH002101,12/8/2011
5C,K562,Region=UW-5C-Myc-Region,none,UW,Stamatoyannopoulos,hg19,released,GSM970287,wgEncodeEH002102,12/8/2011
5C,K562,Version=V2,none,UMass-Dekker,Dekker,hg19,released,GSM970500,wgEncodeEH001668,10/25/2011
5C,K562,none,none,UMass-Dekker,Dekker,hg19,released,GSM970500,wgEncodeEH001668,10/25/2011
5C,LNCaP,Region=UW-5C-Myc-Region,none,UW,Stamatoyannopoulos,hg19,released,GSM970286,wgEncodeEH002103,12/8/2011
5C,MCF-7,Region=UW-5C-Myc-Region,none,UW,Stamatoyannopoulos,hg19,released,GSM970292,wgEncodeEH002104,12/8/2011
5C,None,Region=UW-5C-Gene-Regions,none,UW,Stamatoyannopoulos,hg19,released,,,12/8/2011
5C,None,Region=UW-5C-Myc-Region,none,UW,Stamatoyannopoulos,hg19,released,,,12/8/2011
5C,None,none,none,UMass-Dekker,Dekker,hg19,released,,wgEncodeEH002546,10/25/2011
5C,SK-N-SH_RA,Region=UW-5C-Gene-Regions,none,UW,Stamatoyannopoulos,hg19,released,GSM970284,wgEncodeEH002107,12/8/2011
CAGE,A549,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849359,wgEncodeEH001158,10/21/2011
